# StartTime = 06/15/2023 10:26:36.4362 PM
# FuelCalculationMethod = MassAirFlow
Time (sec), Instant fuel economy (MPG), Total fuel economy (MPG), Fuel rate (gal/hr), Instant CO2 rate (lb/mile), Total CO2 (lbs), CO2 flow (lb/min), Engine RPM (RPM), Mass air flow rate (lb/min), Absolute load value (%), Mass air flow rate (lb/min).1, Engine Power (hp), Calculated load value (%), Time since engine start (sec), Ambient air temperature (°F), Intake manifold absolute pressure (inHg), Fuel system 1 status, Trip Distance (miles), Trip Fuel (gal), Trip Fuel Economy (MPG), Trip Duration (min), Ambient Temperature Sensor (°F), Blower Motor Speed Level, Compressor Speed (RPM), Compressor Target Speed (RPM), Room Temperature Sensor (°F), Engine Speed (RPM), Initial Intake Air Temperature (°F), Intake Air (°F), Hybrid battery pack remaining life (%), Hybrid/EV Battery System Voltage (V), Hybrid/EV Battery System Current (A), Traction Battery Pack Performance Retention Rate (%), Boost (psi), Acceleration (ft/s²), Accelerator Opening Angle % (%), Status of the Brake Pedal Load Sensing SW / OFF or ON, Status of the Brake Warning Light / OFF or ON, Status of the TRC(TRAC) Brake Ctrl / OFF or ON, Vehicle Speed (MPH), Adjusted Ambient Temperature (°F), Motor Actual Current (A), Motor Power Supply Voltage (V), Battery Voltage (V), Status of the A/C Signal / OFF or ON, Status of the Electric Fan Motor / OFF or ON, Aircon Consumption Power (kW), Battery Block Max Voltage (V), Cooling Fan 0 (%), Status of the Aircon Gate Status / OFF or ON, Status of the Aircon Request / No or Request, Status of the Main Battery Charging Request / No or Request, Battery Voltage (V).1, Status of the Engine Condition/ Stop or Run, Status of the Remote A/C Power Supply Condition/ OFF or ON
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0
0.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0
1.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0
2.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0
3.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0
4.712,0.0,29.65804,0.0,0.0,0.0,0.0,1302.25,0.934038,30.19608,1.087079,0.0,61.17647,9,66.2,0.0,2,0.0,0.0,0.0,0.0,67.55,0,0,0,74.75,1298.25,89.375,86.0,69.80392,0,0,0,-7.396924,0.0,0.0,0,0,0,0.0,66.992,-0.01,27.048,14.492,0,0,0,15.96924,0,1,0,0,14.4,0,0
5.714,0.0,29.65804,0.0,0.0,0.0,0.0,1302.25,0.934038,30.19608,1.087079,0.0,61.17647,9,66.2,0.0,2,0.0,0.0,0.0,0.0,67.55,0,0,0,74.75,1298.25,89.375,86.0,69.80392,0,0,0,-7.396924,0.0,0.0,0,0,0,0.0,66.992,-0.01,27.048,14.492,0,0,0,15.96924,0,1,0,0,14.4,0,0
6.722,0.0,29.65804,0.0,0.0,0.0,0.0,1302.25,0.934038,30.19608,1.087079,0.0,61.17647,9,66.2,0.0,2,0.0,0.0,0.0,0.0,67.55,0,0,0,74.75,1298.25,89.375,86.0,69.80392,0,0,0,-7.396924,0.0,0.0,0,0,0,0.0,66.992,-0.01,27.048,14.492,0,0,0,15.96924,0,1,0,0,14.4,0,0
10.748,0.0,29.63286,0.6015538,0.0,13.32806,0.1964658,1300.0,0.930069,30.19608,1.049403,8.247972,60.78431,9,66.2,12.80215,2,0.0,0.0005776129,0.0,0.1156742,67.55,0,0,0,74.75,1308.5,89.375,84.2,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,-0.1,27.048,14.511,0,0,0,15.99976,0,1,0,0,14.4,0,0
11.752,0.0,29.60984,0.5974706,0.0,13.33842,0.1951322,1286.5,0.923454,30.58824,1.017311,8.191985,61.17647,9,66.2,12.7331,2,0.0,0.001106431,0.0,0.180576,67.55,0,0,0,74.75,1301.5,89.375,84.2,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.23,27.048,14.492,0,0,0,16.01929,0,1,0,0,14.4,0,0
12.72,0.0,29.60984,0.5974706,0.0,13.33842,0.1951322,1286.5,0.923454,30.58824,1.017311,8.191985,61.17647,9,66.2,12.7331,2,0.0,0.001106431,0.0,0.180576,67.55,0,0,0,74.75,1301.5,89.375,84.2,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.23,27.048,14.492,0,0,0,16.01929,0,1,0,0,14.4,0,0
13.716,0.0,29.60984,0.5974706,0.0,13.33842,0.1951322,1286.5,0.923454,30.58824,1.017311,8.191985,61.17647,9,66.2,12.7331,2,0.0,0.001106431,0.0,0.180576,67.55,0,0,0,74.75,1301.5,89.375,84.2,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.23,27.048,14.492,0,0,0,16.01929,0,1,0,0,14.4,0,0
14.724,0.0,29.60984,0.5974706,0.0,13.33842,0.1951322,1286.5,0.923454,30.58824,1.017311,8.191985,61.17647,9,66.2,12.7331,2,0.0,0.001106431,0.0,0.180576,67.55,0,0,0,74.75,1301.5,89.375,84.2,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.23,27.048,14.492,0,0,0,16.01929,0,1,0,0,14.4,0,0
15.713,0.0,29.60984,0.5974706,0.0,13.33842,0.1951322,1286.5,0.923454,30.58824,1.017311,8.191985,61.17647,9,66.2,12.7331,2,0.0,0.001106431,0.0,0.180576,67.55,0,0,0,74.75,1301.5,89.375,84.2,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.23,27.048,14.492,0,0,0,16.01929,0,1,0,0,14.4,0,0
16.716,0.0,29.57878,0.5989867,0.0,13.35242,0.1956274,1300.75,0.9261,30.19608,1.050008,8.212773,61.17647,9,66.2,12.90358,2,0.0,0.001821288,0.0,0.2774412,67.55,0,0,0,74.75,1316.25,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,-0.1,27.048,14.511,0,0,0,16.06934,0,1,0,0,14.4,0,0
17.721,0.0,29.57878,0.5989867,0.0,13.35242,0.1956274,1300.75,0.9261,30.19608,1.050008,8.212773,61.17647,9,66.2,12.90358,2,0.0,0.001821288,0.0,0.2774412,67.55,0,0,0,74.75,1316.25,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,-0.1,27.048,14.511,0,0,0,16.06934,0,1,0,0,14.4,0,0
19.725,0.0,29.57878,0.5989867,0.0,13.35242,0.1956274,1300.75,0.9261,30.19608,1.050008,8.212773,61.17647,9,66.2,12.90358,2,0.0,0.001821288,0.0,0.2774412,67.55,0,0,0,74.75,1316.25,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,-0.1,27.048,14.511,0,0,0,16.06934,0,1,0,0,14.4,0,0
20.727,0.0,29.57878,0.5989867,0.0,13.35242,0.1956274,1300.75,0.9261,30.19608,1.050008,8.212773,61.17647,9,66.2,12.90358,2,0.0,0.001821288,0.0,0.2774412,67.55,0,0,0,74.75,1316.25,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,-0.1,27.048,14.511,0,0,0,16.06934,0,1,0,0,14.4,0,0
21.724,0.0,29.57878,0.5989867,0.0,13.35242,0.1956274,1300.75,0.9261,30.19608,1.050008,8.212773,61.17647,9,66.2,12.90358,2,0.0,0.001821288,0.0,0.2774412,67.55,0,0,0,74.75,1316.25,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,-0.1,27.048,14.511,0,0,0,16.06934,0,1,0,0,14.4,0,0
22.718,0.0,29.53897,0.5852956,0.0,13.37042,0.1911559,1295.25,0.904932,29.41176,1.02423,8.025053,60.39216,9,66.2,12.47051,2,0.0,0.002739718,0.0,0.3778276,67.55,0,0,0,75.2,1297.5,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,-0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
23.722,0.0,29.53897,0.5852956,0.0,13.37042,0.1911559,1295.25,0.904932,29.41176,1.02423,8.025053,60.39216,9,66.2,12.47051,2,0.0,0.002739718,0.0,0.3778276,67.55,0,0,0,75.2,1297.5,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,-0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
24.724,0.0,29.53897,0.5852956,0.0,13.37042,0.1911559,1295.25,0.904932,29.41176,1.02423,8.025053,60.39216,9,66.2,12.47051,2,0.0,0.002739718,0.0,0.3778276,67.55,0,0,0,75.2,1297.5,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,-0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
25.722,0.0,29.53897,0.5852956,0.0,13.37042,0.1911559,1295.25,0.904932,29.41176,1.02423,8.025053,60.39216,9,66.2,12.47051,2,0.0,0.002739718,0.0,0.3778276,67.55,0,0,0,75.2,1297.5,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,-0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
26.718,0.0,29.53897,0.5852956,0.0,13.37042,0.1911559,1295.25,0.904932,29.41176,1.02423,8.025053,60.39216,9,66.2,12.47051,2,0.0,0.002739718,0.0,0.3778276,67.55,0,0,0,75.2,1297.5,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,-0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
27.722,0.0,29.53897,0.5852956,0.0,13.37042,0.1911559,1295.25,0.904932,29.41176,1.02423,8.025053,60.39216,9,66.2,12.47051,2,0.0,0.002739718,0.0,0.3778276,67.55,0,0,0,75.2,1297.5,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,-0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
28.722,0.0,29.49514,0.6085975,0.0,13.39029,0.1987663,1295.25,0.904932,29.41176,1.031033,8.344548,60.0,9,66.2,12.44084,2,0.0,0.003753914,0.0,0.4706924,67.55,0,0,0,75.2,1310.0,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.14,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
29.719,0.0,29.49514,0.6085975,0.0,13.39029,0.1987663,1295.25,0.904932,29.41176,1.031033,8.344548,60.0,9,66.2,12.44084,2,0.0,0.003753914,0.0,0.4706924,67.55,0,0,0,75.2,1310.0,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.14,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
30.721,0.0,29.49514,0.6085975,0.0,13.39029,0.1987663,1295.25,0.904932,29.41176,1.031033,8.344548,60.0,9,66.2,12.44084,2,0.0,0.003753914,0.0,0.4706924,67.55,0,0,0,75.2,1310.0,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.14,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
31.729,0.0,29.49514,0.6085975,0.0,13.39029,0.1987663,1295.25,0.904932,29.41176,1.031033,8.344548,60.0,9,66.2,12.44084,2,0.0,0.003753914,0.0,0.4706924,67.55,0,0,0,75.2,1310.0,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.14,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
32.71,0.0,29.49514,0.6085975,0.0,13.39029,0.1987663,1295.25,0.904932,29.41176,1.031033,8.344548,60.0,9,66.2,12.44084,2,0.0,0.003753914,0.0,0.4706924,67.55,0,0,0,75.2,1310.0,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.14,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
33.713,0.0,29.49514,0.6085975,0.0,13.39029,0.1987663,1295.25,0.904932,29.41176,1.031033,8.344548,60.0,9,66.2,12.44084,2,0.0,0.003753914,0.0,0.4706924,67.55,0,0,0,75.2,1310.0,89.375,82.4,69.80392,0,0,0,-7.106849,0.0,0.0,0,0,0,0.0,66.992,0.14,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
34.714,0.0,29.45539,0.6027563,0.0,13.40836,0.1968585,1287.5,0.896994,29.41176,1.046215,8.264459,60.0,9,66.2,12.33171,2,0.0,0.004676258,0.0,0.569239,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,0.0,27.097,14.492,0,0,0,16.16943,0,1,0,0,14.4,0,0
35.728,0.0,29.45539,0.6027563,0.0,13.40836,0.1968585,1287.5,0.896994,29.41176,1.046215,8.264459,60.0,9,66.2,12.33171,2,0.0,0.004676258,0.0,0.569239,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,0.0,27.097,14.492,0,0,0,16.16943,0,1,0,0,14.4,0,0
36.727,0.0,29.45539,0.6027563,0.0,13.40836,0.1968585,1287.5,0.896994,29.41176,1.046215,8.264459,60.0,9,66.2,12.33171,2,0.0,0.004676258,0.0,0.569239,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,0.0,27.097,14.492,0,0,0,16.16943,0,1,0,0,14.4,0,0
37.724,0.0,29.45539,0.6027563,0.0,13.40836,0.1968585,1287.5,0.896994,29.41176,1.046215,8.264459,60.0,9,66.2,12.33171,2,0.0,0.004676258,0.0,0.569239,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,0.0,27.097,14.492,0,0,0,16.16943,0,1,0,0,14.4,0,0
38.726,0.0,29.45539,0.6027563,0.0,13.40836,0.1968585,1287.5,0.896994,29.41176,1.046215,8.264459,60.0,9,66.2,12.33171,2,0.0,0.004676258,0.0,0.569239,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,0.0,27.097,14.492,0,0,0,16.16943,0,1,0,0,14.4,0,0
39.729,0.0,29.45539,0.6027563,0.0,13.40836,0.1968585,1287.5,0.896994,29.41176,1.046215,8.264459,60.0,9,66.2,12.33171,2,0.0,0.004676258,0.0,0.569239,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-6.961812,0.0,0.0,0,0,0,0.0,66.992,0.0,27.097,14.492,0,0,0,16.16943,0,1,0,0,14.4,0,0
40.727,0.0,29.41284,0.6000893,0.0,13.42775,0.1959875,1292.0,0.893025,29.01961,1.00702,8.22789,59.60784,9,66.2,12.35105,2,0.0,0.005666149,0.0,0.6636872,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
41.715,0.0,29.41284,0.6000893,0.0,13.42775,0.1959875,1292.0,0.893025,29.01961,1.00702,8.22789,59.60784,9,66.2,12.35105,2,0.0,0.005666149,0.0,0.6636872,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
42.714,0.0,29.41284,0.6000893,0.0,13.42775,0.1959875,1292.0,0.893025,29.01961,1.00702,8.22789,59.60784,9,66.2,12.35105,2,0.0,0.005666149,0.0,0.6636872,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
43.726,0.0,29.41284,0.6000893,0.0,13.42775,0.1959875,1292.0,0.893025,29.01961,1.00702,8.22789,59.60784,9,66.2,12.35105,2,0.0,0.005666149,0.0,0.6636872,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
44.722,0.0,29.41284,0.6000893,0.0,13.42775,0.1959875,1292.0,0.893025,29.01961,1.00702,8.22789,59.60784,9,66.2,12.35105,2,0.0,0.005666149,0.0,0.6636872,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
45.725,0.0,29.41284,0.6000893,0.0,13.42775,0.1959875,1292.0,0.893025,29.01961,1.00702,8.22789,59.60784,9,66.2,12.35105,2,0.0,0.005666149,0.0,0.6636872,67.55,0,0,0,75.2,1292.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.097,14.511,0,0,0,16.16943,0,1,0,0,14.4,0,0
46.722,0.0,29.37148,0.6009783,0.0,13.44667,0.1962778,1296.75,0.894348,29.01961,1.010722,8.24008,59.21569,9,66.2,12.32626,2,0.0,0.006631423,0.0,0.7674482,67.55,0,0,0,75.2,1296.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
47.726,0.0,29.37148,0.6009783,0.0,13.44667,0.1962778,1296.75,0.894348,29.01961,1.010722,8.24008,59.21569,9,66.2,12.32626,2,0.0,0.006631423,0.0,0.7674482,67.55,0,0,0,75.2,1296.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
48.722,0.0,29.37148,0.6009783,0.0,13.44667,0.1962778,1296.75,0.894348,29.01961,1.010722,8.24008,59.21569,9,66.2,12.32626,2,0.0,0.006631423,0.0,0.7674482,67.55,0,0,0,75.2,1296.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
49.728,0.0,29.37148,0.6009783,0.0,13.44667,0.1962778,1296.75,0.894348,29.01961,1.010722,8.24008,59.21569,9,66.2,12.32626,2,0.0,0.006631423,0.0,0.7674482,67.55,0,0,0,75.2,1296.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
50.723,0.0,29.37148,0.6009783,0.0,13.44667,0.1962778,1296.75,0.894348,29.01961,1.010722,8.24008,59.21569,9,66.2,12.32626,2,0.0,0.006631423,0.0,0.7674482,67.55,0,0,0,75.2,1296.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
51.724,0.0,29.37148,0.6009783,0.0,13.44667,0.1962778,1296.75,0.894348,29.01961,1.010722,8.24008,59.21569,9,66.2,12.32626,2,0.0,0.006631423,0.0,0.7674482,67.55,0,0,0,75.2,1296.75,89.375,82.4,69.80392,0,0,0,-7.251887,0.0,0.0,0,0,0,0.0,66.992,0.01,27.048,14.511,0,0,0,16.1499,0,1,0,0,14.4,0,0
52.724,0.0,29.34929,0.3013781,0.0,13.45683,0.09842927,0.0,0.448497,0.0,0.0,4.132229,0.0,9,66.2,6.158722,1,0.0,0.007150138,0.0,0.8645803,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,-0.2900755,0.0,0.0,0,0,0,1.59071,66.992,-11.73,27.097,14.57,0,0,0,15.89966,0,1,0,0,14.4,0,0
53.722,0.0,29.34929,0.3013781,0.0,13.45683,0.09842927,0.0,0.448497,0.0,0.0,4.132229,0.0,9,66.2,6.158722,1,0.0,0.007150138,0.0,0.8645803,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,-0.2900755,0.0,0.0,0,0,0,1.59071,66.992,-11.73,27.097,14.57,0,0,0,15.89966,0,1,0,0,14.4,0,0
54.724,0.0,29.34929,0.3013781,0.0,13.45683,0.09842927,0.0,0.448497,0.0,0.0,4.132229,0.0,9,66.2,6.158722,1,0.0,0.007150138,0.0,0.8645803,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,-0.2900755,0.0,0.0,0,0,0,1.59071,66.992,-11.73,27.097,14.57,0,0,0,15.89966,0,1,0,0,14.4,0,0
55.722,0.0,29.34929,0.3013781,0.0,13.45683,0.09842927,0.0,0.448497,0.0,0.0,4.132229,0.0,9,66.2,6.158722,1,0.0,0.007150138,0.0,0.8645803,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,-0.2900755,0.0,0.0,0,0,0,1.59071,66.992,-11.73,27.097,14.57,0,0,0,15.89966,0,1,0,0,14.4,0,0
56.723,0.0,29.34929,0.3013781,0.0,13.45683,0.09842927,0.0,0.448497,0.0,0.0,4.132229,0.0,9,66.2,6.158722,1,0.0,0.007150138,0.0,0.8645803,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,-0.2900755,0.0,0.0,0,0,0,1.59071,66.992,-11.73,27.097,14.57,0,0,0,15.89966,0,1,0,0,14.4,0,0
57.718,0.0,29.34929,0.3013781,0.0,13.45683,0.09842927,0.0,0.448497,0.0,0.0,4.132229,0.0,9,66.2,6.158722,1,0.0,0.007150138,0.0,0.8645803,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,-0.2900755,0.0,0.0,0,0,0,1.59071,66.992,-11.73,27.097,14.57,0,0,0,15.89966,0,1,0,0,14.4,0,0
58.72,127.1698,29.35376,0.01954462,0.1540919,13.45744,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,61,66.2,0.0,1,0.003983348,0.007181279,0.554685,0.9650006,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,0.0,0.315917,0.0,0,0,0,0.0,66.992,27.05,31.115,14.55,0,0,0,15.67993,0,1,0,0,14.4,0,0
59.721,127.1698,29.35376,0.01954462,0.1540919,13.45744,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,61,66.2,0.0,1,0.003983348,0.007181279,0.554685,0.9650006,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,0.0,0.315917,0.0,0,0,0,0.0,66.992,27.05,31.115,14.55,0,0,0,15.67993,0,1,0,0,14.4,0,0
60.718,127.1698,29.35376,0.01954462,0.1540919,13.45744,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,61,66.2,0.0,1,0.003983348,0.007181279,0.554685,0.9650006,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,0.0,0.315917,0.0,0,0,0,0.0,66.992,27.05,31.115,14.55,0,0,0,15.67993,0,1,0,0,14.4,0,0
61.723,127.1698,29.35376,0.01954462,0.1540919,13.45744,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,61,66.2,0.0,1,0.003983348,0.007181279,0.554685,0.9650006,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,0.0,0.315917,0.0,0,0,0,0.0,66.992,27.05,31.115,14.55,0,0,0,15.67993,0,1,0,0,14.4,0,0
62.72,127.1698,29.35376,0.01954462,0.1540919,13.45744,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,61,66.2,0.0,1,0.003983348,0.007181279,0.554685,0.9650006,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,0.0,0.315917,0.0,0,0,0,0.0,66.992,27.05,31.115,14.55,0,0,0,15.67993,0,1,0,0,14.4,0,0
63.721,127.1698,29.35376,0.01954462,0.1540919,13.45744,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,61,66.2,0.0,1,0.003983348,0.007181279,0.554685,0.9650006,67.55,0,0,0,75.2,0.0,89.375,86.0,69.80392,0,0,0,0.0,0.315917,0.0,0,0,0,0.0,66.992,27.05,31.115,14.55,0,0,0,15.67993,0,1,0,0,14.4,0,0
64.718,254.3395,29.36455,0.01954462,0.07704596,13.45809,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,61,66.2,0.0,1,0.01235927,0.007214267,1.71317,1.064594,67.55,0,0,0,75.2,1278.75,89.375,84.2,69.80392,0,0,0,0.0,0.6163991,0.0,0,0,0,10.33962,66.992,-1.41,27.146,14.511,0,0,0,16.21948,0,1,0,0,14.4,0,0
65.717,254.3395,29.36455,0.01954462,0.07704596,13.45809,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,61,66.2,0.0,1,0.01235927,0.007214267,1.71317,1.064594,67.55,0,0,0,75.2,1278.75,89.375,84.2,69.80392,0,0,0,0.0,0.6163991,0.0,0,0,0,10.33962,66.992,-1.41,27.146,14.511,0,0,0,16.21948,0,1,0,0,14.4,0,0
66.718,254.3395,29.36455,0.01954462,0.07704596,13.45809,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,61,66.2,0.0,1,0.01235927,0.007214267,1.71317,1.064594,67.55,0,0,0,75.2,1278.75,89.375,84.2,69.80392,0,0,0,0.0,0.6163991,0.0,0,0,0,10.33962,66.992,-1.41,27.146,14.511,0,0,0,16.21948,0,1,0,0,14.4,0,0
67.721,254.3395,29.36455,0.01954462,0.07704596,13.45809,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,61,66.2,0.0,1,0.01235927,0.007214267,1.71317,1.064594,67.55,0,0,0,75.2,1278.75,89.375,84.2,69.80392,0,0,0,0.0,0.6163991,0.0,0,0,0,10.33962,66.992,-1.41,27.146,14.511,0,0,0,16.21948,0,1,0,0,14.4,0,0
